# name	bright	faint	upperfwhm	saturate	faintest
CFHT-u 	16 21 0.55 17 23
CFHT-g 	16 21 0.5 17 22
CFHT-r 	16 21 0.5 17.2 22
CFHT-iy 16 21 0.5 16.5 21
CFHT-z 	16 21 0.5 16 21
HSC-G_DR3 	18 22 0.55 18.5 22.5
HSC-R_DR3 	18 22 0.55 19.2 22
HSC-I_DR3 	18 22 0.5 19.0 21.5
HSC-Z_DR3 	18 22 0.45 18.5 21.5
HSC-Y_DR3 	18 22 0.55 17.7 21.2
SC-z 	15 22 0.55 19.4 22
HSC-NB0816_DR3 18 22 0.5 18.0 21.5
HSC-NB0921_DR3 18 22 0.5 17.2 21.5
Y	17.0	19.0	0.93		17.0		21.0
J	16.5	19.0	0.93		17.0		20.0
H 	15.0	19.0	0.93		15.0		19.0
Ks	15.0	18.0	0.85		15.0		18.0
NB118 15 19 0.9 15 20
YJ 15 19 0.9 15 20
JH 15 19 0.9 15 20
HKs 15 19 0.9 15 20
ch1cds 15 19 0.9 15 20
ch2cds 15 19 0.9 15 20
ch1o 15 19 0.9 15 20
ch2o 15 19 0.9 15 20
ugriy 15 19 0.9 15 20
GRI 15 19 0.9 15 20
GR 15 19 0.9 15 20
